Date,Close,Open,High,Low,Close(Nikkei JAPAN 1000D)
2016-08-18,1528.24,1541.6,1546.64,1528.24,1924.64
2016-08-17,1552.7,1537.06,1554.67,1536.45,1955.44
2016-08-16,1537.07,1559.54,1560.94,1537.07,1935.73
2016-08-15,1558.3,1560.84,1565.74,1557.42,1962.47
2016-08-12,1566.28,1564.51,1568.79,1560.91,1972.52
2016-08-10,1555.82,1553.22,1560.71,1548.45,1959.35
2016-08-09,1558.99,1544.96,1559.43,1544.96,1963.33
2016-08-08,1544.86,1531.37,1544.86,1531.37,1945.55
2016-08-05,1514.24,1521.42,1525.26,1512.24,1906.97
2016-08-04,1517.49,1510.8,1519.37,1494.75,1911.07
2016-08-03,1504.11,1516.55,1518.5,1501.46,1894.22
2016-08-02,1537.42,1548.92,1552.52,1537.42,1936.17
2016-08-01,1563.0,1544.25,1566.69,1535.82,1968.38
2016-07-29,1563.83,1541.15,1565.14,1524.34,1969.43
2016-07-28,1545.11,1556.04,1556.04,1541.31,1945.86
2016-07-27,1562.55,1557.43,1573.58,1553.21,1967.81
2016-07-26,1544.56,1553.35,1554.95,1539.75,1945.03
2016-07-25,1566.52,1572.83,1582.8,1565.25,1972.69
2016-07-22,1569.41,1566.35,1572.85,1562.46,1976.32
2016-07-21,1583.78,1589.13,1592.48,1576.12,1994.42
2016-07-20,1573.12,1569.43,1573.5,1559.81,1981.0
2016-07-19,1574.27,1566.01,1574.27,1556.97,1982.45
